Cargo,id,depende_de,depende_de_descripcion,Categoria,Apellido,Nombre,genero,Telefono
DIRECCION DE GESTION Y ADMINISTRA DE PERSONAL (DGRH),18,44,DIR. GRAL. DE RECURSOS HUMANOS (DGRH),DIRECTOR,SOLARO,MARCELO ANGEL,M,
DIRECCION JARDIN MATERNO INFANTIL (DIR JAR MAT),19,44,DIR. GRAL. DE RECURSOS HUMANOS (DGRH),DIRECTORA,MENINI,SILVANA,F,
DIRECCION SERVICIO MEDICO (DGRH),20,44,DIR. GRAL. DE RECURSOS HUMANOS (DGRH),DIRECTOR,HALAC,MARCELO,M,
SUBDIRECCION GRAL DE RECURSOS HUMANOS (DGRH),21,44,DIR. GRAL. DE RECURSOS HUMANOS (DGRH),SUBDIRECTOR GENERAL,COSENTINO,WILSON LEONEL,M,
DIRECCION ARCHIVO PUBLICACIONES Y MUSEO (DIR AR PU MU),22,60,DIR. GRAL. INFORMACION PARLAMENTARIA Y ARCHI (DGIP Y A),DIRECTOR,FASANELLA,EDUARDO ANTONIO,M,
DIRECCION INFORMACION PARLAMENTARIA (DIR INF PARL),23,60,DIR. GRAL. INFORMACION PARLAMENTARIA Y ARCHI (DGIP Y A),DIRECTORA,GIMENEZ DIAZ,MARIA ISABEL,F,
DIR DE ENLACE CON CULTOS Y ENTIDADES RELIGIOSAS,24,72,DIR. GRAL. DE DIPLOMACIA PARLAMENTARIA COOPERACIÓN INTERNACIONAL Y CULTO,DIRECTOR,DI FAZIO,LORENZO GERARDO JAVIER,M,
DIRECCION DE DIPLOMACIA PARLAMENTARIA Y COOPERACIÓN INTERNACIONAL,25,72,DIR. GRAL. DE DIPLOMACIA PARLAMENTARIA COOPERACIÓN INTERNACIONAL Y CULTO,DIRECTORA,TERMINE,LUCIANA MARIEL,F,
"DIRECCION LEGAL, TÉCNICO - ADMINISTRATIVA Y DE ORGANISMOS INTERNACIONALES",26,72,DIR. GRAL. DE DIPLOMACIA PARLAMENTARIA COOPERACIÓN INTERNACIONAL Y CULTO,DIRECTOR,RUIZ MAGADAN,FERNANDO RAFAEL,M,
ASESORIA DE GABINETE DE LA PRESIDENCIA (ASE GAB PRES),27,73,PRESIDENCIA - HCDN (PRESIDENCIA),ASESORA,CAÑETE,LUCIANA SOLEDAD,F,
DIR. GRAL. DE COORDINACION DE LA PRESIDENCIA (DGCP),28,73,PRESIDENCIA - HCDN (PRESIDENCIA),DIRECTORA GENERAL,COMORETTO,CHIARA MARIA,F,
"DIR. GRAL. DE DIPLOMACIA PARLAMENTARIA, COOPERACIÓN INTERNACIONAL Y CULTO",29,73,PRESIDENCIA - HCDN (PRESIDENCIA),DIRECTOR GENERAL,CINCUNEGUI,JUAN DE DIOS,M,
DIR. OBSERVATORIO DE GENERO Y EQUIDAD HCDN (DOGHCDN),30,73,PRESIDENCIA - HCDN (PRESIDENCIA),DIRECTOR,,,,
PROSECRETARIA ADMINISTRATIVA (PROS ADM),31,73,PRESIDENCIA - HCDN (PRESIDENCIA),PROSECRETARIO ADMINISTRATIVO,ROMERO,OSCAR,M,
PROSECRETARIA DE COORDINACION OPERATIVA (PROS COORD OPER),32,73,PRESIDENCIA - HCDN (PRESIDENCIA),PROSECRETARIO,SEMINARA,EDUARDO,M,
PROSECRETARIA GENERAL DE LA H.C.D.N. (PROS G H.C.D.N.),33,73,PRESIDENCIA - HCDN (PRESIDENCIA),PROSECRETARIO GENERAL,MENAFRA,JUAN CARLOS,M,
PROSECRETARIA PARLAMENTARIA (PROSE PARL),34,73,PRESIDENCIA - HCDN (PRESIDENCIA),PROSECRETARIA PARLAMENTARIA,LUCHETTA,MARTA ALICIA,F,
SECRETARIA ADMINISTRATIVA (SEC ADM),35,73,PRESIDENCIA - HCDN (PRESIDENCIA),SECRETARIA ADMINISTRATIVA,ROMANO,FLORENCIA,F,
SECRETARIA DE COORDINACION OPERATIVA (SEC COORD OPER),36,73,PRESIDENCIA - HCDN (PRESIDENCIA),SECRETARIA COORDINACION OPER,ALONSO,MARIA LUZ,F,
SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),37,73,PRESIDENCIA - HCDN (PRESIDENCIA),SECRETARIO GENERAL DE LA PRES.,BARBOSA MOREIRA,MARCIO,M,
SECRETARIA PARLAMENTARIA (SEC PARL),38,73,PRESIDENCIA - HCDN (PRESIDENCIA),SECRETARIO PARLAMENTARIO,INCHAUSTI,EUGENIO CARLOS,M,
DIRECCION DE DESPACHO (DIR DE DESP),39,34,PROSECRETARIA PARLAMENTARIA (PROSE PARL),DIRECTOR,,,,
ASESORIA DE GABINETE DE LA SECRETARIA ADMINISTRATIVA,40,35,SECRETARIA ADMINISTRATIVA (SEC ADM),ASESOR,STOLARSKY,PABLO MARTIN,M,
DIR. GRAL. COORDINACION ADMINISTRATIVA (D GRALCOOD ADM),41,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTORA GENERAL,LONGARI,MARIA SOL,F,
DIR. GRAL. ADMINSTRATIVO CONTABLE (D GRAL ADM CONT),42,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR GENERAL,CIAPPA,FEDERICO,M,
DIR. GRAL. DE INFORMATICA Y SISTEMAS (DGIS),43,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR GENERAL,ANASTASIO,MAXIMILIANO,M,
DIR. GRAL. DE RECURSOS HUMANOS (DGRH),44,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR GENERAL,SARTORIS,MARIANO MAURO,M,
DIRECCION AUDITORIA INTERNA (DIR AUD INT),45,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,BRUNO,NORBERTO,M,
DIRECCION DE HIGIENE Y SEGURIDAD DEL TRABAJO (D HST),46,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,SOLIMO,MARCELO ANDRES,M,
DIRECCION DE OBRAS (DIR OBR),47,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,,,,
DIRECCION DE SEGURIDAD Y CONTROL (DIR SEG),48,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,CASTAÑEDA,JORGE ALBERTO,M,
DIRECCION DE SISTEMAS ELECTRONICOS (DIR SIST ELEC),49,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,NASSO,LUIS ALBERTO,M,
DIRECCION SERVICIOS GENERALES (DIR SER GRAL),50,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTOR,MALDONADO,RUBEN WALTER,M,
UNIDAD DE PLANIFICACION Y CONTROL DE GESTION (UPCG),51,35,SECRETARIA ADMINISTRATIVA (SEC ADM),DIRECTORA GENERAL,ZAGA,JIMENA,F,
ASESORIA DE ASUNTOS POLITICOS CON EL ESTADO NACIONAL,52,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),ASESOR,SPINOZZI,RICARDO ADRIAN,M,
ASESORIA PARLAMENTARIA DE INFORMACION CIENTIFICA Y TECNOLOGICA,53,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),ASESOR,PATIÑO,JOSE LUIS,M,
DIR. GRAL. ADMINISTRATIVA (DIR GRAL ADM),54,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTOR GENERAL,VODENICHAROFF,LUIS ALBERTO,M,
DIR. GRAL. DE COORDINACION TECNICO Y LEGAL (DGCTYL),55,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTORA GENERAL,DEL CANTO,MARIA INES,F,
DIR. GRAL. DE PRENSA Y COMUNICACIONES (DGP Y C),56,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTOR GENERAL,ROMAN,LUCIANO ABEL,M,
DIRECCION DE COORDINACION DE POLITICAS INSTITUCIONALES,57,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTORA,BUSSE CORBALAN,ERICA CAROLINA,F,
DIRECCION DE ENLACE INFORMATICO,58,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTOR,RAMIREZ,MARIANO,M,
DIRECCION DE RELACIONES INSTITU CEREM Y PROTO (DRIC Y P),59,37,SECRETARIA GENERAL DE LA PRESIDENCIA (SEC GRAL PRES),DIRECTOR,GONZALEZ FERNANDEZ,ANIBAL TABARE,M,
DIR. GRAL. INFORMACION PARLAMENTARIA Y ARCHI (DGIP Y A),60,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR GENERAL,OLIVERO,JUAN CARLOS,M,
DIRECCION COMISIONES (DIR COMISIONES),61,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,FERREIRO,CARLOS A,M,
DIRECCION CULTURA (DIR. CULT),62,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTORA,BARBIERI,ANDREA SILVANA,F,
DIRECCION DE COORDINACION DE LABOR PARLAMENT. (D COOR LA PA),63,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTORA,ANDREA,NIEVAS,F,
DIRECCION DE ENL C EL SEC CIENT TEC NAC E INT (DIR ESCNI),64,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,,,,
DIRECCION DE PRESUPUESTO Y HACIENDA (DIR PRE HAC),65,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,SEGUI,ARIEL,M,
DIRECCION DE TAQUIGRAFOS (DIR TAQUI),66,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,CASTELLANO,GUILLERMO A,M,
DIRECCION DEL INSTITUTO DE CAPACITACION PARLAMENTARIA (DIR INS CAP PAR),67,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTORA,DE FERRARI RUEDA,PATRICIA,F,
DIRECCION DESPACHO (SEC PARL),68,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,MORALES,MARIO RICARDO,M,
DIRECCION SECRETARIA (DIR SEC),69,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTORA,BLANCO,MARIA INES,F,
DIRECCION SERVICIOS DIGITALES PARLAMENTARIOS (D SER DIG PAR),70,38,SECRETARIA PARLAMENTARIA (SEC PARL),DIRECTOR,,,,
DIR. GRAL. DE PRENSA Y CONUNICACIONES (DGP Y C),71,73,,,,,,
DIR. GRAL. DE DIPLOMACIA PARLAMENTARIA COOPERACIÓN INTERNACIONAL Y CULTO,72,73,,,,,,
PRESIDENCIA - HCDN (PRESIDENCIA),73,0,,,,,,
